\\U00000023, _emoj_number_
\\U000020e3,hash_ 
\\U00000030, _emoj_number_
\\U000020e3,zero_ 
\\U00000031, _emoj_number_
\\U000020e3,one_ 
\\U00000032, _emoj_number_
\\U000020e3,two_ 
\\U00000033, _emoj_number_
\\U000020e3,three_ 
\\U00000034, _emoj_number_
\\U000020e3,four_ 
\\U00000035, _emoj_number_
\\U000020e3,five_ 
\\U00000036, _emoj_number_
\\U000020e3,six_ 
\\U00000037, _emoj_number_
\\U000020e3,seven_ 
\\U00000038, _emoj_number_
\\U000020e3,eight_ 
\\U00000039, _emoj_number_
\\U000020e3,nine_ 
\\U000000a9, _emoj_copyright_ 
\\U000000ae, _emoj_registered_ 
\\U0000203c, _emoj_bangbang_ 
\\U00002049, _emoj_interrobang_ 
\\U00002122, _emoj_tm_ 
\\U00002139, _emoj_information_source_ 
\\U00002194, _emoj_left_right_arrow_ 
\\U00002195, _emoj_arrow_up_down_ 
\\U00002196, _emoj_arrow_upper_left_ 
\\U00002197, _emoj_arrow_upper_right_ 
\\U00002198, _emoj_arrow_lower_right_ 
\\U00002199, _emoj_arrow_lower_left_ 
\\U000021a9, _emoj_leftwards_arrow_with_hook_ 
\\U000021aa, _emoj_arrow_right_hook_ 
\\U0000231a, _emoj_watch_ 
\\U0000231b, _emoj_hourglass_ 
\\U000023e9, _emoj_fast_forward_ 
\\U000023ea, _emoj_rewind_ 
\\U000023eb, _emoj_arrow_double_up_ 
\\U000023ec, _emoj_arrow_double_down_ 
\\U000023f0, _emoj_alarm_clock_ 
\\U000023f3, _emoj_hourglass_flowing_sand_ 
\\U000024c2, _emoj_m_ 
\\U000025aa, _emoj_black_small_square_ 
\\U000025ab, _emoj_white_small_square_ 
\\U000025b6, _emoj_arrow_forward_ 
\\U000025c0, _emoj_arrow_backward_ 
\\U000025fb, _emoj_white_medium_square_ 
\\U000025fc, _emoj_black_medium_square_ 
\\U000025fd, _emoj_white_medium_small_square_ 
\\U000025fe, _emoj_black_medium_small_square_ 
\\U00002600, _emoj_sunny_ 
\\U00002601, _emoj_cloud_ 
\\U0000260e, _emoj_phone_ 
\\U00002611, _emoj_ballot_box_with_check_ 
\\U00002614, _emoj_umbrella_ 
\\U00002615, _emoj_coffee_ 
\\U0000261d, _emoj_point_up_ 
\\U0000263a, _emoj_relaxed_ 
\\U00002648, _emoj_aries_ 
\\U00002649, _emoj_taurus_ 
\\U0000264a, _emoj_gemini_ 
\\U0000264b, _emoj_cancer_ 
\\U0000264c, _emoj_leo_ 
\\U0000264d, _emoj_virgo_ 
\\U0000264e, _emoj_libra_ 
\\U0000264f, _emoj_scorpius_ 
\\U00002650, _emoj_sagittarius_ 
\\U00002651, _emoj_capricorn_ 
\\U00002652, _emoj_aquarius_ 
\\U00002653, _emoj_pisces_ 
\\U00002660, _emoj_spades_ 
\\U00002663, _emoj_clubs_ 
\\U00002665, _emoj_heart_+_emoj_heart_ 
\\U00002666, _emoj_diamonds_ 
\\U00002668, _emoj_hotsprings_ 
\\U0000267b, _emoj_recycle_ 
\\U0000267f, _emoj_wheelchair_ 
\\U00002693, _emoj_anchor_ 
\\U000026a0, _emoj_warning_ 
\\U000026a1, _emoj_zap_ 
\\U000026aa, _emoj_white_circle_ 
\\U000026ab, _emoj_black_circle_ 
\\U000026bd, _emoj_soccer_ 
\\U000026be, _emoj_baseball_ 
\\U000026c4, _emoj_snowman_ 
\\U000026c5, _emoj_partly_sunny_ 
\\U000026ce, _emoj_ophiuchus_ 
\\U000026d4, _emoj_no_entry_ 
\\U000026ea, _emoj_church_ 
\\U000026f2, _emoj_fountain_ 
\\U000026f3, _emoj_golf_ 
\\U000026f5, _emoj_sailboat_ 
\\U000026fa, _emoj_tent_ 
\\U000026fd, _emoj_fuelpump_ 
\\U00002702, _emoj_scissors_ 
\\U00002705, _emoj_white_check_mark_ 
\\U00002708, _emoj_airplane_ 
\\U00002709, _emoj_email_ 
\\U0000270a, _emoj_fist_ 
\\U0000270b, _emoj_hand_ 
\\U0000270c, _emoj_v_ 
\\U0000270f, _emoj_pencil2_ 
\\U00002712, _emoj_black_nib_ 
\\U00002714, _emoj_heavy_check_mark_ 
\\U00002716, _emoj_heavy_multiplication_x_ 
\\U00002728, _emoj_sparkles_ 
\\U00002733, _emoj_eight_spoked_asterisk_ 
\\U00002734, _emoj_eight_pointed_black_star_ 
\\U00002744, _emoj_snowflake_ 
\\U00002747, _emoj_sparkle_ 
\\U0000274c, _emoj_x_ 
\\U0000274e, _emoj_negative_squared_cross_mark_ 
\\U00002753, _emoj_question_ 
\\U00002754, _emoj_grey_question_ 
\\U00002755, _emoj_grey_exclamation_ 
\\U00002757, _emoj_heavy_exclamation_mark_ 
\\U00002764, _emoj_heart_ 
\\U00002795, _emoj_heavy_plus_sign_ 
\\U00002796, _emoj_heavy_minus_sign_ 
\\U00002797, _emoj_heavy_division_sign_ 
\\U000027a1, _emoj_arrow_right_ 
\\U000027b0, _emoj_curly_loop_ 
\\U000027bf, _emoj_loop_ 
\\U00002934, _emoj_arrow_heading_up_ 
\\U00002935, _emoj_arrow_heading_down_ 
