\u00000023, _emoj_number_
\u000020e3,_number_hash_ 
\u00000030, _emoj_number_
\u000020e3,_number_zero_ 
\u00000031, _emoj_number_
\u000020e3,_number_one_ 
\u00000032, _emoj_number_
\u000020e3,_number_two_ 
\u00000033, _emoj_number_
\u000020e3,_number_three_ 
\u00000034, _emoj_number_
\u000020e3,_number_four_ 
\u00000035, _emoj_number_
\u000020e3,_number_five_ 
\u00000036, _emoj_number_
\u000020e3,_number_six_ 
\u00000037, _emoj_number_
\u000020e3,_number_seven_ 
\u00000038, _emoj_number_
\u000020e3,_number_eight_ 
\u00000039, _emoj_number_
\u000020e3,_number_nine_ 
\u000000a9, _emoj_copyright_ 
\u000000ae, _emoj_registered_ 
\u0000203c, _emoj_bangbang_ 
\u00002049, _emoj_interrobang_ 
\u00002122, _emoj_tm_ 
\u00002139, _emoj_information_source_ 
\u00002194, _emoj_left_right_arrow_ 
\u00002195, _emoj_arrow_up_down_ 
\u00002196, _emoj_arrow_upper_left_ 
\u00002197, _emoj_arrow_upper_right_ 
\u00002198, _emoj_arrow_lower_right_ 
\u00002199, _emoj_arrow_lower_left_ 
\u000021a9, _emoj_leftwards_arrow_with_hook_ 
\u000021aa, _emoj_arrow_right_hook_ 
\u0000231a, _emoj_watch_ 
\u0000231b, _emoj_hourglass_ 
\u000023e9, _emoj_fast_forward_ 
\u000023ea, _emoj_rewind_ 
\u000023eb, _emoj_arrow_double_up_ 
\u000023ec, _emoj_arrow_double_down_ 
\u000023f0, _emoj_alarm_clock_ 
\u000023f3, _emoj_hourglass_flowing_sand_ 
\u000024c2, _emoj_m_ 
\u000025aa, _emoj_black_small_square_ 
\u000025ab, _emoj_white_small_square_ 
\u000025b6, _emoj_arrow_forward_ 
\u000025c0, _emoj_arrow_backward_ 
\u000025fb, _emoj_white_medium_square_ 
\u000025fc, _emoj_black_medium_square_ 
\u000025fd, _emoj_white_medium_small_square_ 
\u000025fe, _emoj_black_medium_small_square_ 
\u00002600, _emoj_sunny_ 
\u00002601, _emoj_cloud_ 
\u0000260e, _emoj_phone_ 
\u00002611, _emoj_ballot_box_with_check_ 
\u00002614, _emoj_umbrella_ 
\u00002615, _emoj_coffee_ 
\u0000261d, _emoj_point_up_ 
\u0000263a, _emoj_relaxed_ 
\u00002648, _emoj_aries_ 
\u00002649, _emoj_taurus_ 
\u0000264a, _emoj_gemini_ 
\u0000264b, _emoj_cancer_ 
\u0000264c, _emoj_leo_ 
\u0000264d, _emoj_virgo_ 
\u0000264e, _emoj_libra_ 
\u0000264f, _emoj_scorpius_ 
\u00002650, _emoj_sagittarius_ 
\u00002651, _emoj_capricorn_ 
\u00002652, _emoj_aquarius_ 
\u00002653, _emoj_pisces_ 
\u00002660, _emoj_spades_ 
\u00002663, _emoj_clubs_ 
\u00002665, _emoj_heart_+_emoj_heart_ 
\u00002666, _emoj_diamonds_ 
\u00002668, _emoj_hotsprings_ 
\u0000267b, _emoj_recycle_ 
\u0000267f, _emoj_wheelchair_ 
\u00002693, _emoj_anchor_ 
\u000026a0, _emoj_warning_ 
\u000026a1, _emoj_zap_ 
\u000026aa, _emoj_white_circle_ 
\u000026ab, _emoj_black_circle_ 
\u000026bd, _emoj_soccer_ 
\u000026be, _emoj_baseball_ 
\u000026c4, _emoj_snowman_ 
\u000026c5, _emoj_partly_sunny_ 
\u000026ce, _emoj_ophiuchus_ 
\u000026d4, _emoj_no_entry_ 
\u000026ea, _emoj_church_ 
\u000026f2, _emoj_fountain_ 
\u000026f3, _emoj_golf_ 
\u000026f5, _emoj_sailboat_ 
\u000026fa, _emoj_tent_ 
\u000026fd, _emoj_fuelpump_ 
\u00002702, _emoj_scissors_ 
\u00002705, _emoj_white_check_mark_ 
\u00002708, _emoj_airplane_ 
\u00002709, _emoj_email_ 
\u0000270a, _emoj_fist_ 
\u0000270b, _emoj_hand_ 
\u0000270c, _emoj_v_ 
\u0000270f, _emoj_pencil2_ 
\u00002712, _emoj_black_nib_ 
\u00002714, _emoj_heavy_check_mark_ 
\u00002716, _emoj_heavy_multiplication_x_ 
\u00002728, _emoj_sparkles_ 
\u00002733, _emoj_eight_spoked_asterisk_ 
\u00002734, _emoj_eight_pointed_black_star_ 
\u00002744, _emoj_snowflake_ 
\u00002747, _emoj_sparkle_ 
\u0000274c, _emoj_x_ 
\u0000274e, _emoj_negative_squared_cross_mark_ 
\u00002753, _emoj_question_ 
\u00002754, _emoj_grey_question_ 
\u00002755, _emoj_grey_exclamation_ 
\u00002757, _emoj_heavy_exclamation_mark_ 
\u00002764, _emoj_heart_ 
\u00002795, _emoj_heavy_plus_sign_ 
\u00002796, _emoj_heavy_minus_sign_ 
\u00002797, _emoj_heavy_division_sign_ 
\u000027a1, _emoj_arrow_right_ 
\u000027b0, _emoj_curly_loop_ 
\u000027bf, _emoj_loop_ 
\u00002934, _emoj_arrow_heading_up_ 
\u00002935, _emoj_arrow_heading_down_ 
\u00002b05, _emoj_arrow_left_ 
\u00002b06, _emoj_arrow_up_ 
\u00002b07, _emoj_arrow_down_ 
\u00002b1b, _emoj_black_large_square_ 
\u00002b1c, _emoj_white_large_square_ 
\u00002b50, _emoj_star_ 
\u00002b55, _emoj_o_ 
\u00003030, _emoj_wavy_dash_ 
\u0000303d, _emoj_part_alternation_mark_ 
\u00003297, _emoj_congratulations_ 
\u00003299, _emoj_secret_ 
\u0001f004, _emoj_mahjong_ 
\u0001f0cf, _emoj_black_joker_ 
\u0001f170, _emoj_a_ 
\u0001f171, _emoj_b_ 
\u0001f17e, _emoj_o2_ 
\u0001f17f, _emoj_parking_ 
\u0001f18e, _emoj_ab_ 
\u0001f191, _emoj_cl_ 
\u0001f192, _emoj_cool_ 
\u0001f193, _emoj_free_ 
\u0001f194, _emoj_id_ 
\u0001f195, _emoj_new_ 
\u0001f196, _emoj_ng_ 
\u0001f197, _emoj_ok_ 
\u0001f198, _emoj_sos_ 
\u0001f199, _emoj_up_ 
\u0001f19a, _emoj_vs_ 
\u0001f1e8, _emoj_flag_
\u0001f1f3,_flag_cn_ 
\u0001f1e9, _emoj_flag_
\u0001f1ea,_flag_de_ 
\u0001f1ea, _emoj_flag_
\u0001f1f8,_flag_es_ 
\u0001f1eb, _emoj_flag_
\u0001f1f7,_flag_fr_ 
\u0001f1ec, _emoj_flag_
\u0001f1e7,_flag_gb_ 
\u0001f1ee, _emoj_flag_
\u0001f1f9,_flag_it_ 
\u0001f1ef, _emoj_flag_
\u0001f1f5,_flag_jp_ 
\u0001f1f0, _emoj_flag_
\u0001f1f7,_flag_kr_ 
\u0001f1f7, _emoj_flag_
\u0001f1fa,_flag_ru_ 
\u0001f1fa, _emoj_flag_
\u0001f1f8,_flag_us_ 
\u0001f201, _emoj_koko_ 
\u0001f202, _emoj_sa_ 
\u0001f21a, _emoj_u7121_ 
\u0001f22f, _emoj_u6307_ 
\u0001f232, _emoj_u7981_ 
\u0001f233, _emoj_u7a7a_ 
\u0001f234, _emoj_u5408_ 
\u0001f235, _emoj_u6e80_ 
\u0001f236, _emoj_u6709_ 
\u0001f237, _emoj_u6708_ 
\u0001f238, _emoj_u7533_ 
\u0001f239, _emoj_u5272_ 
\u0001f23a, _emoj_u55b6_ 
\u0001f250, _emoj_ideograph_advantage_ 
\u0001f251, _emoj_accept_ 
\u0001f300, _emoj_cyclone_ 
\u0001f301, _emoj_foggy_ 
\u0001f302, _emoj_closed_umbrella_ 
\u0001f303, _emoj_night_with_stars_ 
\u0001f304, _emoj_sunrise_over_mountains_ 
\u0001f305, _emoj_sunrise_ 
\u0001f306, _emoj_city_sunset_ 
\u0001f307, _emoj_city_sunrise_ 
\u0001f308, _emoj_rainbow_ 
\u0001f309, _emoj_bridge_at_night_ 
\u0001f30a, _emoj_ocean_ 
\u0001f30b, _emoj_volcano_ 
\u0001f30c, _emoj_milky_way_ 
\u0001f30d, _emoj_earth_africa_ 
\u0001f30e, _emoj_earth_americas_ 
\u0001f30f, _emoj_earth_asia_ 
\u0001f310, _emoj_globe_with_meridians_ 
\u0001f311, _emoj_new_moon_ 
\u0001f312, _emoj_waxing_crescent_moon_ 
\u0001f313, _emoj_first_quarter_moon_ 
\u0001f314, _emoj_waxing_gibbous_moon_ 
\u0001f315, _emoj_full_moon_ 
\u0001f316, _emoj_waning_gibbous_moon_ 
\u0001f317, _emoj_last_quarter_moon_ 
\u0001f318, _emoj_waning_crescent_moon_ 
\u0001f319, _emoj_crescent_moon_ 
\u0001f31a, _emoj_new_moon_with_face_ 
\u0001f31b, _emoj_first_quarter_moon_with_face_ 
\u0001f31c, _emoj_last_quarter_moon_with_face_ 
\u0001f31d, _emoj_full_moon_with_face_ 
\u0001f31e, _emoj_sun_with_face_ 
\u0001f31f, _emoj_star2_ 
\u0001f320, _emoj_stars_ 
\u0001f330, _emoj_chestnut_ 
\u0001f331, _emoj_seedling_ 
\u0001f332, _emoj_evergreen_tree_ 
\u0001f333, _emoj_deciduous_tree_ 
\u0001f334, _emoj_palm_tree_ 
\u0001f335, _emoj_cactus_ 
\u0001f337, _emoj_tulip_ 
\u0001f338, _emoj_cherry_blossom_ 
\u0001f339, _emoj_rose_ 
\u0001f33a, _emoj_hibiscus_ 
\u0001f33b, _emoj_sunflower_ 
\u0001f33c, _emoj_blossom_ 
\u0001f33d, _emoj_corn_ 
\u0001f33e, _emoj_ear_of_rice_ 
\u0001f33f, _emoj_herb_ 
\u0001f340, _emoj_four_leaf_clover_ 
\u0001f341, _emoj_maple_leaf_ 
\u0001f342, _emoj_fallen_leaf_ 
\u0001f343, _emoj_leaves_ 
\u0001f344, _emoj_mushroom_ 
\u0001f345, _emoj_tomato_ 
\u0001f346, _emoj_eggplant_ 
\u0001f347, _emoj_grapes_ 
\u0001f348, _emoj_melon_ 
\u0001f349, _emoj_watermelon_ 
\u0001f34a, _emoj_tangerine_ 
\u0001f34b, _emoj_lemon_ 
\u0001f34c, _emoj_banana_ 
\u0001f34d, _emoj_pineapple_ 
\u0001f34e, _emoj_apple_ 
\u0001f34f, _emoj_green_apple_ 
\u0001f350, _emoj_pear_ 
\u0001f351, _emoj_peach_ 
\u0001f352, _emoj_cherries_ 
\u0001f353, _emoj_strawberry_ 
\u0001f354, _emoj_hamburger_ 
\u0001f355, _emoj_pizza_ 
\u0001f356, _emoj_meat_on_bone_ 
\u0001f357, _emoj_poultry_leg_ 
\u0001f358, _emoj_rice_cracker_ 
\u0001f359, _emoj_rice_ball_ 
\u0001f35a, _emoj_rice_ 
\u0001f35b, _emoj_curry_ 
\u0001f35c, _emoj_ramen_ 
\u0001f35d, _emoj_spaghetti_ 
\u0001f35e, _emoj_bread_ 
\u0001f35f, _emoj_fries_ 
\u0001f360, _emoj_sweet_potato_ 
\u0001f361, _emoj_dango_ 
\u0001f362, _emoj_oden_ 
\u0001f363, _emoj_sushi_ 
\u0001f364, _emoj_fried_shrimp_ 
\u0001f365, _emoj_fish_cake_ 
\u0001f366, _emoj_icecream_ 
\u0001f367, _emoj_shaved_ice_ 
\u0001f368, _emoj_ice_cream_ 
\u0001f369, _emoj_doughnut_ 
\u0001f36a, _emoj_cookie_ 
\u0001f36b, _emoj_chocolate_bar_ 
\u0001f36c, _emoj_candy_ 
\u0001f36d, _emoj_lollipop_ 
\u0001f36e, _emoj_custard_ 
\u0001f36f, _emoj_honey_pot_ 
\u0001f370, _emoj_cake_ 
\u0001f371, _emoj_bento_ 
\u0001f372, _emoj_stew_ 
\u0001f373, _emoj_egg_ 
\u0001f374, _emoj_fork_and_knife_ 
\u0001f375, _emoj_tea_ 
\u0001f376, _emoj_sake_ 
\u0001f377, _emoj_wine_glass_ 
\u0001f378, _emoj_cocktail_ 
\u0001f379, _emoj_tropical_drink_ 
\u0001f37a, _emoj_beer_ 
\u0001f37b, _emoj_beers_ 
\u0001f37c, _emoj_baby_bottle_ 
\u0001f380, _emoj_ribbon_ 
\u0001f381, _emoj_gift_ 
\u0001f382, _emoj_birthday_ 
\u0001f383, _emoj_jack_o_lantern_ 
\u0001f384, _emoj_christmas_tree_ 
\u0001f385, _emoj_santa_ 
\u0001f386, _emoj_fireworks_ 
\u0001f387, _emoj_sparkler_ 
\u0001f388, _emoj_balloon_ 
\u0001f389, _emoj_tada_ 
\u0001f38a, _emoj_confetti_ball_ 
\u0001f38b, _emoj_tanabata_tree_ 
\u0001f38c, _emoj_crossed_flags_ 
\u0001f38d, _emoj_bamboo_ 
\u0001f38e, _emoj_dolls_ 
\u0001f38f, _emoj_flags_ 
\u0001f390, _emoj_wind_chime_ 
\u0001f391, _emoj_rice_scene_ 
\u0001f392, _emoj_school_satchel_ 
\u0001f393, _emoj_mortar_board_ 
\u0001f3a0, _emoj_carousel_horse_ 
\u0001f3a1, _emoj_ferris_wheel_ 
\u0001f3a2, _emoj_roller_coaster_ 
\u0001f3a3, _emoj_fishing_pole_and_fish_ 
\u0001f3a4, _emoj_microphone_ 
\u0001f3a5, _emoj_movie_camera_ 
\u0001f3a6, _emoj_cinema_ 
\u0001f3a7, _emoj_headphones_ 
\u0001f3a8, _emoj_art_ 
\u0001f3a9, _emoj_tophat_ 
\u0001f3aa, _emoj_circus_tent_ 
\u0001f3ab, _emoj_ticket_ 
\u0001f3ac, _emoj_clapper_ 
\u0001f3ad, _emoj_performing_arts_ 
\u0001f3ae, _emoj_video_game_ 
\u0001f3af, _emoj_dart_ 
\u0001f3b0, _emoj_slot_machine_ 
\u0001f3b1, _emoj_8ball_ 
\u0001f3b2, _emoj_game_die_ 
\u0001f3b3, _emoj_bowling_ 
\u0001f3b4, _emoj_flower_playing_cards_ 
\u0001f3b5, _emoj_musical_note_ 
\u0001f3b6, _emoj_notes_ 
\u0001f3b7, _emoj_saxophone_ 
\u0001f3b8, _emoj_guitar_ 
\u0001f3b9, _emoj_musical_keyboard_ 
\u0001f3ba, _emoj_trumpet_ 
\u0001f3bb, _emoj_violin_ 
\u0001f3bc, _emoj_musical_score_ 
\u0001f3bd, _emoj_running_shirt_with_sash_ 
\u0001f3be, _emoj_tennis_ 
\u0001f3bf, _emoj_ski_ 
\u0001f3c0, _emoj_basketball_ 
\u0001f3c1, _emoj_checkered_flag_ 
\u0001f3c2, _emoj_snowboarder_ 
\u0001f3c3, _emoj_running_ 
\u0001f3c4, _emoj_surfer_ 
\u0001f3c6, _emoj_trophy_ 
\u0001f3c7, _emoj_horse_racing_ 
\u0001f3c8, _emoj_football_ 
\u0001f3c9, _emoj_rugby_football_ 
\u0001f3ca, _emoj_swimmer_ 
\u0001f3e0, _emoj_house_ 
\u0001f3e1, _emoj_house_with_garden_ 
\u0001f3e2, _emoj_office_ 
\u0001f3e3, _emoj_post_office_ 
\u0001f3e4, _emoj_european_post_office_ 
\u0001f3e5, _emoj_hospital_ 
\u0001f3e6, _emoj_bank_ 
\u0001f3e7, _emoj_atm_ 
\u0001f3e8, _emoj_hotel_ 
\u0001f3e9, _emoj_love_hotel_ 
\u0001f3ea, _emoj_convenience_store_ 
\u0001f3eb, _emoj_school_ 
\u0001f3ec, _emoj_department_store_ 
\u0001f3ed, _emoj_factory_ 
\u0001f3ee, _emoj_izakaya_lantern_ 
\u0001f3ef, _emoj_japanese_castle_ 
\u0001f3f0, _emoj_european_castle_ 
\u0001f400, _emoj_rat_ 
\u0001f401, _emoj_mouse2_ 
\u0001f402, _emoj_ox_ 
